source_id,source_reliability_rating,source_title,journal,volume,chapter,number,website_article_url,archeological_site,witnesses,authors,publisher,website_name,website_url,city_published,regions,original_language,isbn,year_published,original_year_published_bce,original_year_published_ad,source_type,contemporary,primary_source_id,,,,,,,,,,,,,,,,,,
P23A22,null,Inscriptions on Jar-Sealings,null,null,null,null,,"Beit Khallaf, Tombs K1 and K2",null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Inscription,FALSE,P23A22,,,,,,,,,,,,,,,,,,
P23A23,null,Sealings of Sanakhte,null,null,null,null,,Pottery deposit north of the Funerary Temple of Djoser at the Step Pyramid,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Rock Carving,FALSE,P23A23,,,,,,,,,,,,,,,,,,
P23A24,null,Sealings on the rock-faces at Wadi Maghara,null,null,null,null,,Wadi Maghara in the Sinai Peninsula,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Rock Carving,FALSE,P23A24,,,,,,,,,,,,,,,,,,
P23A25,null,Jar-Sealings in the tomb of Sekhemkhet,null,null,null,null,,Tomb of Sekhemkhet at Saqqara,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Jar-Sealing,FALSE,P23A25,,,,,,,,,,,,,,,,,,
P23A26,null,Jar-Sealings found in Tomb K1 at Beit Khallaf,null,null,null,null,,Tomb K1 at Beit Khallaf,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Jar-Sealing,FALSE,P23A26,,,,,,,,,,,,,,,,,,
P23A27,null,Jar-Sealings found in Tomb K3 at Beit Khallaf,null,null,null,null,,Tomb K3 at Beit Khallaf,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Jar-Sealing,FALSE,P23A27,,,,,,,,,,,,,,,,,,
P23A28,null,Jar-Sealings found in Tomb K4 at Beit Khallaf,null,null,null,null,,Tomb K4 at Beit Khallaf,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Jar-Sealing,FALSE,P23A28,,,,,,,,,,,,,,,,,,
P23A29,null,Jar-Sealings found in Tomb K5 at Beit Khallaf,null,null,null,null,,Tomb K5 at Beit Khallaf,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Jar-Sealing,FALSE,P23A29,,,,,,,,,,,,,,,,,,
P23A30,null,Cartouche of King Redjedef,null,null,null,null,,Workmen's huts near Zawiyet el-Aryan,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,2613-2494 BCE,2613-2494 BCE,null,Cartouche,FALSE,P23A30,,,,,,,,,,,,,,,,,,
P23A31,null,Red Granite Inscription at Elephantine,null,null,null,null,,King Huni's Fortress at Elephantine,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Inscription,FALSE,P23A31,,,,,,,,,,,,,,,,,,
P23A32,null,Property deed in Metjen's chapel,null,null,null,null,,Metjen's Chapel at Saqqara,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,2613-2494 BCE,2613-2494 BCE,null,Property Deed,FALSE,P23A32,,,,,,,,,,,,,,,,,,
P23A33,null,Cartouche in the South Stone Pyramid,null,null,null,null,,South Stone Pyramd at Dashur,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Cartouche,FALSE,P23A33,,,,,,,,,,,,,,,,,,
P23A34,null,Inscription on the Masonry of the North Stone Pyramid,null,null,null,null,,North Stone Pyramid at Dashur,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Inscription,FALSE,P23A34,,,,,,,,,,,,,,,,,,
P23A35,null,Decree of Phiops I,null,null,null,null,,Ruins of the Valley Temple of the North Stone Pyramid at Dashur,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Decree,FALSE,P23A35,,,,,,,,,,,,,,,,,,.
P23A36,null,Two statues of Duare in Sneferu's Valley Temple,null,null,null,null,,Sneferu's Valley Temple,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Artifact,FALSE,P23A36,,,,,,,,,,,,,,,,,,
P23A37,null,Round-topped stela in the entrance corridor of the Valley Temple of the South Stone Pyramid,null,null,null,null,,Entrance corridor of the Valley Temple of the South Stone Pyramid at Dashur,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,In the time of Sneferu,In the time of Sneferu,null,Artifact,FALSE,P23A37,,,,,,,,,,,,,,,,,,
P23A38,null,Stela of Ankhmare,null,null,null,null,,null,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Artifact,FALSE,P23A38,,,,,,,,,,,,,,,,,,
P23A39,null,Royal Stelae at Dashur,null,null,null,null,,Dashur,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Artifact,FALSE,P23A39,,,,,,,,,,,,,,,,,,
P23A40,null,Inscriptions in the Chapel of the Tomb of Hordedef,null,null,null,null,,"Giza, east of the Pyramid of King Khufu",null,,,,,,Ancient Egypt,Hieroglyphic,,,,,Inscription,FALSE,P23A40,,,,,,,,,,,,,,,,,,
C23A6,null,Dynasties of Ancient Egypt:Pharoahs in Order,null,null,null,null,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/,,null,Charlotte Hodgman,,History Extra,https://www.historyextra.com/,,,,,2022,null,2022,Website Article,TRUE,null,,,,,,,,,,,,,,,,,,
P23A41,null,The Saqqara List,null,null,null,null,null,Saqqara,null,null,null,null,null,null,Ancient Egypt,Hieroglyphic,null,2686-2613 BCE,2686-2613 BCE,null,List of Records,FALSE,P23A41,,,,,,,,,,,,,,,,,,
C23A7,null,Early Dynastic Egypt,null,null,null,null,null,null,null,Toby Wilkinson,Routledge,null,null,null,Ancient Egypt,Hieroglyphic,,1999,null,1999,Book,TRUE,null,,,,,,,,,,,,,,,,,,
P23A42,null,Prisse Papyrus,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Papyrus Record,FALSE,P23A42,,,,,,,,,,,,,,,,,,
P23A43,null,Quarry mark on the casing of the North Stone Pyramid,null,null,null,null,null,North Stone Pyramid at Dashur,null,null,null,null,null,null,Ancient Egypt,Hieroglyphic,null,2613-2494 BCE,2613-2494 BCE,null,Inscription,FALSE,P23A43,,,,,,,,,,,,,,,,,,
P23A44,null,Marketing Material of Friden Calculator,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Marketing Material,FALSE,P23A44,,,,,,,,,,,,,,,,,,
C23A8,null,The Book of Proofs,null,null,1,null,null,null,null,Richard Hammock,Richard Hammock,,,,,,,,,,Book,TRUE,null,,,,,,,,,,,,,,,,,,
C23A9,,Discrete Mathematics and Its Applications,,,,,,,,Kenneth H. Rosen,McGraw Hill Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
