mathematical_apparatus_id,mathematical_apparatus,date_invented,function,inventor,region,model_image,model_cdn_link,source_ids,source_page_references,primary_source_ids,primary_source_page_references
MAPPID0,Friden Calculator,null,"Performing mathematical calculations. Performs addition, subtraction, multiplication and division",null,null,null,null,C23A3,p.29,P23A44,null
MAPPID1,Slide Rule,null,"Performing mathematical calculations. Performs multiplication, division, square-roots, trigonometry",null,null,null,null,C23A3,p.31,null,null
