aeronautic_company_id,aeronautic_company_name,founded,founders,service,crafts,research,region,source_ids,source_page_references,primary_source_ids,primary_source_page_references
AEROCO0,Aerojet-Rocketdyne,Approx. 1942 (Update when we've done more research),"Frank Malina, Theodore von Karman",Rocket Manufacturing,null,null,The United States of America,C23A3,p.25,null,null
AEROCO1,Convair,Approx. 1942 (Update when we've done more research),"Frank Malina, Theodore von Karman",Aeronautics,null,null,The United States of America,C23A3,p.43,null,null
